Date,Open,High,Low,Close,Adj Close,Volume
2020-09-06,0.029048,0.030630,0.027551,0.030191,0.030191,2483277
2020-09-07,0.030191,0.030545,0.027454,0.029281,0.029281,2103685
2020-09-08,0.029289,0.030205,0.028085,0.029106,0.029106,1800853
2020-09-09,0.029128,0.030667,0.028374,0.029687,0.029687,1201920
2020-09-10,0.029690,0.032751,0.029680,0.032475,0.032475,1924104
2020-09-11,0.032475,0.036805,0.032259,0.033670,0.033670,6700287
2020-09-12,0.033670,0.035111,0.032221,0.033827,0.033827,3157010
2020-09-13,0.033827,0.034429,0.030933,0.031230,0.031230,1860207
2020-09-14,0.031214,0.037652,0.031214,0.033763,0.033763,11471111
2020-09-15,0.033780,0.033805,0.031034,0.031035,0.031035,2477634
2020-09-16,0.031041,0.031120,0.029505,0.029928,0.029928,1776838
2020-09-17,0.029912,0.030709,0.029306,0.029875,0.029875,1274331
2020-09-18,0.029875,0.031638,0.029741,0.030390,0.030390,1810763
2020-09-19,0.030370,0.031628,0.029988,0.031186,0.031186,1045297
2020-09-20,0.031167,0.031209,0.029068,0.029405,0.029405,927349
2020-09-21,0.029421,0.030171,0.025349,0.026097,0.026097,1807313
2020-09-22,0.026100,0.026478,0.025233,0.026004,0.026004,965011
2020-09-23,0.026004,0.026681,0.024307,0.024355,0.024355,1069139
2020-09-24,0.024401,0.026427,0.024225,0.026427,0.026427,813269
2020-09-25,0.026431,0.027191,0.025532,0.026982,0.026982,1158937
2020-09-26,0.026994,0.027685,0.026734,0.027002,0.027002,894034
2020-09-27,0.027003,0.027506,0.025866,0.026483,0.026483,835991
2020-09-28,0.026483,0.027695,0.026483,0.026868,0.026868,1015654
2020-09-29,0.026926,0.027718,0.026232,0.027457,0.027457,1047716
2020-09-30,0.027468,0.027505,0.025895,0.026583,0.026583,1289505
2020-10-01,0.026582,0.027004,0.025075,0.025645,0.025645,887928
2020-10-02,0.025611,0.025926,0.024124,0.025319,0.025319,965136
2020-10-03,0.025319,0.026072,0.025215,0.025410,0.025410,491728
2020-10-04,0.025410,0.025954,0.025068,0.025864,0.025864,551175
2020-10-05,0.025798,0.026383,0.025240,0.025599,0.025599,634054
2020-10-06,0.025580,0.025704,0.022830,0.022921,0.022921,860329
2020-10-07,0.022921,0.023865,0.022682,0.023377,0.023377,634849
2020-10-08,0.023365,0.025302,0.023167,0.025245,0.025245,1054130
2020-10-09,null,null,null,null,null,null
2020-10-10,0.026877,0.038161,0.026877,0.028073,0.028073,20554046
2020-10-11,0.028032,0.032135,0.027317,0.029562,0.029562,9492831
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.027154,0.027794,0.026560,0.026874,0.026874,908538
2020-10-15,0.026870,0.027077,0.025602,0.026458,0.026458,907715
2020-10-16,0.026448,0.026653,0.025070,0.025655,0.025655,984195
2020-10-17,0.025602,0.027864,0.025530,0.026675,0.026675,1587902
2020-10-18,0.026696,0.027594,0.026240,0.027350,0.027350,998007
2020-10-19,0.027356,0.027372,0.026393,0.026536,0.026536,966481
2020-10-20,0.026554,0.026554,0.025018,0.025653,0.025653,785512
2020-10-21,0.025669,0.026544,0.025405,0.026083,0.026083,1004208
2020-10-22,0.026089,0.027108,0.026031,0.026909,0.026909,701210
2020-10-23,0.026899,0.028897,0.026575,0.028142,0.028142,1911579
2020-10-24,0.028142,0.033109,0.028093,0.029956,0.029956,7103620
2020-10-25,0.029956,0.029956,0.028140,0.028508,0.028508,1897771
2020-10-26,0.028508,0.029091,0.026576,0.027410,0.027410,1051459
2020-10-27,0.027410,0.029047,0.026814,0.028801,0.028801,1207368
2020-10-28,0.028801,0.029108,0.026882,0.027285,0.027285,978279
2020-10-29,0.027285,0.027763,0.025958,0.026247,0.026247,859911
2020-10-30,0.026248,0.026542,0.024572,0.025617,0.025617,1052120
2020-10-31,0.025617,0.026089,0.025096,0.025398,0.025398,674612
2020-11-01,0.025398,0.026227,0.025156,0.025985,0.025985,631248
2020-11-02,0.025985,0.026200,0.024648,0.024948,0.024948,705799
2020-11-03,0.024947,0.025054,0.023721,0.024633,0.024633,689698
2020-11-04,0.024633,0.025751,0.024203,0.024939,0.024939,1091620
2020-11-05,0.024939,0.037869,0.024939,0.033557,0.033557,16454753
2020-11-06,0.033557,0.063562,0.032138,0.054002,0.054002,137513276
2020-11-07,0.054002,0.054143,0.038481,0.041634,0.041634,36435078
2020-11-08,0.041634,0.066635,0.040063,0.065203,0.065203,93449207
2020-11-09,0.065203,0.137310,0.063577,0.133601,0.133601,434289241
2020-11-10,0.133602,0.161061,0.100089,0.106402,0.106402,297541320
2020-11-11,0.106402,0.135617,0.091995,0.093301,0.093301,135704541
2020-11-12,0.093300,0.103759,0.082700,0.100103,0.100103,133419886
2020-11-13,0.100106,0.125534,0.096567,0.106775,0.106775,199813847
2020-11-14,0.106775,0.116462,0.098747,0.107887,0.107887,97248505
2020-11-15,0.107887,0.116116,0.100616,0.104953,0.104953,67024830
2020-11-16,0.104953,0.104953,0.097146,0.098135,0.098135,37314718
2020-11-17,0.097480,0.099018,0.086791,0.094394,0.094394,60859249
2020-11-18,0.094394,0.094999,0.084531,0.087073,0.087073,32790870
2020-11-19,0.087072,0.093293,0.084808,0.088163,0.088163,34065757
2020-11-20,0.088164,0.090857,0.087206,0.087979,0.087979,21869964
2020-11-21,0.087979,0.088133,0.083362,0.084562,0.084562,33357142
2020-11-22,0.084562,0.084621,0.074431,0.078728,0.078728,34971281
2020-11-23,0.078729,0.094228,0.078729,0.086308,0.086308,80464056
2020-11-24,0.086317,0.092329,0.082397,0.086389,0.086389,39096763
2020-11-25,0.086353,0.093675,0.085092,0.088854,0.088854,46475206
2020-11-26,0.088766,0.093981,0.067814,0.076968,0.076968,30124270
2020-11-27,0.077112,0.081022,0.072484,0.080008,0.080008,13958727
2020-11-28,0.080012,0.083731,0.076615,0.082314,0.082314,13903733
2020-11-29,0.082216,0.082323,0.079543,0.080683,0.080683,8042519
2020-11-30,0.080670,0.085141,0.077118,0.081301,0.081301,17569550
2020-12-01,0.081328,0.093819,0.078936,0.085740,0.085740,62006047
2020-12-02,0.085326,0.141390,0.084304,0.125686,0.125686,250899720
2020-12-03,0.126166,0.143789,0.110831,0.121061,0.121061,178491258
2020-12-04,0.121003,0.128283,0.098629,0.100753,0.100753,50394116
2020-12-05,0.100721,0.118184,0.098451,0.115890,0.115890,70320714
2020-12-06,0.116058,0.116058,0.103761,0.107308,0.107308,31500247
2020-12-07,0.107388,0.107541,0.101896,0.102492,0.102492,17475290
2020-12-08,0.102567,0.105132,0.092847,0.092886,0.092886,22871289
2020-12-09,0.092722,0.102727,0.086354,0.098788,0.098788,35840212
2020-12-10,0.098959,0.099199,0.089993,0.091507,0.091507,16900645
2020-12-11,0.091457,0.095144,0.087196,0.089657,0.089657,18142591
2020-12-12,0.089299,0.103458,0.089299,0.097310,0.097310,30374748
2020-12-13,0.097345,0.101125,0.095563,0.096921,0.096921,16310771
2020-12-14,0.096766,0.098021,0.093361,0.094897,0.094897,8713027
2020-12-15,0.094858,0.099289,0.093743,0.094908,0.094908,13839948
2020-12-16,0.094877,0.096561,0.090794,0.094558,0.094558,18303087
2020-12-17,0.094369,0.097985,0.091807,0.093511,0.093511,23655606
2020-12-18,0.093533,0.100152,0.092993,0.099953,0.099953,23711766
2020-12-19,0.099647,0.108360,0.097023,0.103347,0.103347,39350430
2020-12-20,0.103329,0.103329,0.094174,0.095680,0.095680,20256680
2020-12-21,0.095683,0.098654,0.087860,0.089787,0.089787,29887709
2020-12-22,0.089966,0.093240,0.086806,0.089577,0.089577,14058893
2020-12-23,0.089631,0.103449,0.076356,0.080508,0.080508,42864007
2020-12-24,0.080843,0.095532,0.077795,0.091031,0.091031,66064948
2020-12-25,0.091129,0.095988,0.086878,0.091242,0.091242,27896325
2020-12-26,0.091356,0.091721,0.087253,0.089193,0.089193,18151093
2020-12-27,0.089163,0.091986,0.084342,0.086999,0.086999,25543594
2020-12-28,0.086871,0.090207,0.085417,0.086478,0.086478,18085121
2020-12-29,0.086479,0.087174,0.081686,0.083980,0.083980,11248810
2020-12-30,0.084053,0.091416,0.083469,0.086532,0.086532,20428414
2020-12-31,0.086638,0.086748,0.082147,0.084600,0.084600,9339541
2021-01-01,0.084598,0.088956,0.083717,0.085904,0.085904,9846254
2021-01-02,0.085898,0.087373,0.081843,0.085614,0.085614,11643594
2021-01-03,0.085627,0.089229,0.082797,0.088002,0.088002,20418674
2021-01-04,0.088082,0.097222,0.080797,0.085404,0.085404,23937539
2021-01-05,0.085552,0.094916,0.082255,0.092108,0.092108,16715952
2021-01-06,0.092079,0.115285,0.090213,0.105129,0.105129,43041500
2021-01-07,0.104571,0.196993,0.102444,0.196993,0.196993,212011755
2021-01-08,0.185609,0.212905,0.152829,0.168355,0.168355,260489218
2021-01-09,0.167980,0.173778,0.145581,0.153742,0.153742,83880362
2021-01-10,0.153677,0.169739,0.129367,0.142481,0.142481,77943187
2021-01-11,0.142329,0.142716,0.099395,0.121212,0.121212,33106733
2021-01-12,0.121124,0.192058,0.118190,0.172742,0.172742,171542197
2021-01-13,0.172710,0.178946,0.152966,0.171791,0.171791,144977224
2021-01-14,0.172002,0.174122,0.158316,0.165281,0.165281,85571393
2021-01-15,0.165620,0.166477,0.141646,0.156019,0.156019,56610158
2021-01-16,0.155942,0.164528,0.148928,0.153486,0.153486,45243190
2021-01-17,0.153446,0.164611,0.146975,0.154551,0.154551,43137197
2021-01-18,0.154713,0.169305,0.149913,0.166275,0.166275,54129238
2021-01-19,0.166410,0.166936,0.157345,0.160047,0.160047,33943513
2021-01-20,0.159948,0.166322,0.146552,0.157972,0.157972,30797077
2021-01-21,0.157981,0.158049,0.130018,0.132718,0.132718,23558179
2021-01-22,0.132462,0.146162,0.117354,0.145184,0.145184,38300918
2021-01-23,0.145105,0.160256,0.143957,0.147494,0.147494,41654134
2021-01-24,0.148028,0.164439,0.146151,0.155894,0.155894,45101666
2021-01-25,0.156114,0.158158,0.147988,0.150642,0.150642,23819189
2021-01-26,0.151168,0.152383,0.140613,0.148575,0.148575,17465919
2021-01-27,0.148478,0.148739,0.130832,0.135360,0.135360,18570229
2021-01-28,0.135360,0.157314,0.135360,0.153479,0.153479,35839648
2021-01-29,0.152171,0.165027,0.146342,0.155464,0.155464,52170075
2021-01-30,0.155410,0.165010,0.152370,0.154114,0.154114,31273592
2021-01-31,0.154347,0.157475,0.148544,0.151431,0.151431,19825618
2021-02-01,0.151586,0.154409,0.147699,0.154409,0.154409,19924676
2021-02-02,0.154427,0.177173,0.152916,0.175199,0.175199,52463679
2021-02-03,0.175356,0.182285,0.164641,0.180961,0.180961,43389324
2021-02-04,0.181382,0.189032,0.165868,0.174912,0.174912,39399543
2021-02-05,0.175037,0.291383,0.172444,0.244565,0.244565,195030190
2021-02-06,0.244536,0.284922,0.215668,0.244281,0.244281,250413142
2021-02-07,0.244683,0.251495,0.217202,0.229601,0.229601,82766383
2021-02-08,0.229642,0.247999,0.224051,0.237999,0.237999,56992397
2021-02-09,0.237678,0.246295,0.233282,0.246235,0.246235,35755069
2021-02-10,0.246201,0.261020,0.222996,0.243389,0.243389,44388695
2021-02-11,0.243417,0.277307,0.235310,0.269983,0.269983,71324216
2021-02-12,0.269101,0.382576,0.264511,0.344766,0.344766,188947124
2021-02-13,0.345619,0.587041,0.340478,0.492939,0.492939,792447009
2021-02-14,0.515097,0.569234,0.438486,0.455392,0.455392,272756768
